iter	Logloss
0	0.6427222836
1	0.5965400463
2	0.5651490566
3	0.5277900812
4	0.5095544761
5	0.4863707361
6	0.4767678586
7	0.4676296863
8	0.4493452663
9	0.4337255682
10	0.4294122055
11	0.4155999036
12	0.4139662003
13	0.4017924129
14	0.3922767768
15	0.3906741972
16	0.3855975452
17	0.3845169383
18	0.380537559
19	0.3794741269
20	0.3762582361
21	0.3707220442
22	0.364383724
23	0.3602734119
24	0.3571588138
25	0.357122132
26	0.355294049
27	0.3505827875
28	0.3495956584
29	0.3487247222
30	0.3443461668
31	0.3430705282
32	0.3386194672
33	0.337244622
34	0.335785941
35	0.3340304406
36	0.3320534515
37	0.3307260906
38	0.3286209588
39	0.3277730021
40	0.327178229
41	0.3271761694
42	0.3252491258
43	0.3224461411
44	0.3223102326
45	0.3220153513
46	0.3215012642
47	0.3210054915
48	0.3205096614
49	0.3197551099
50	0.3197545732
51	0.3184884708
52	0.3158758861
53	0.3142602924
54	0.3142310927
55	0.3127665469
56	0.3126317742
57	0.312032758
58	0.3114617201
59	0.3112663359
60	0.3112659992
61	0.3107681868
62	0.3102437744
63	0.3102002126
64	0.3084521675
65	0.3077851434
66	0.3068891232
67	0.3055955613
68	0.305553726
69	0.3050507003
70	0.3041892121
71	0.304125769
72	0.3028281719
73	0.3022988777
74	0.3022984675
75	0.3020600146
76	0.300397242
77	0.3001813793
78	0.3001476887
79	0.2999112391
80	0.2973333676
81	0.2965938428
82	0.2958542794
83	0.2953104837
84	0.2953058151
85	0.2947451323
86	0.2937318414
87	0.293161029
88	0.2926298285
89	0.2916352573
90	0.290882114
91	0.2892507389
92	0.2887759526
93	0.2873478195
94	0.2872847008
95	0.2871589789
96	0.28712406
97	0.2863074114
98	0.2859573258
99	0.285166759
100	0.2834300402
101	0.2827760928
102	0.2810890152
103	0.2794077844
104	0.2781347609
105	0.2775864631
106	0.2767656718
107	0.2762824308
108	0.2758090621
109	0.2745855407
110	0.2733192389
111	0.2726112157
112	0.2706086407
113	0.2697531875
114	0.2687586771
115	0.2669549041
116	0.2662338957
117	0.2652169407
118	0.2641557125
119	0.2637376742
120	0.2628170579
121	0.2619427983
122	0.2605588026
123	0.2587766018
124	0.2581135024
125	0.256757092
126	0.2552877307
127	0.2543107796
128	0.2524089573
129	0.2514888695
130	0.2497994938
131	0.2489399253
132	0.2484193155
133	0.2466219677
134	0.2456513921
135	0.2453398068
136	0.2445803492
137	0.2436356377
138	0.2427912779
139	0.2419794445
140	0.2416683022
141	0.2413632671
142	0.2409246737
143	0.2406129902
144	0.2401365415
145	0.2392867666
146	0.2383702338
147	0.2374563222
148	0.2370593665
149	0.2360558715
150	0.2350996286
151	0.2348260543
152	0.2338354118
153	0.2319762363
154	0.2314153779
155	0.2308923858
156	0.2307137578
157	0.2303478521
158	0.2297433501
159	0.229135673
160	0.2286296098
161	0.2279239081
162	0.2275876154
163	0.2267097646
164	0.2262527893
165	0.2256987902
166	0.2243273378
167	0.2235183526
168	0.2228909415
169	0.2226592459
170	0.2221250677
171	0.2214286974
172	0.2207038826
173	0.2201334614
174	0.2198958826
175	0.2192693402
176	0.2188725385
177	0.2180585561
178	0.217604675
179	0.217334652
180	0.2170212815
181	0.2164932721
182	0.2160563125
183	0.2158303144
184	0.2151313475
185	0.2146489848
186	0.2142265157
187	0.213749404
188	0.213490269
189	0.2133617165
190	0.2126733277
191	0.2118612755
192	0.2116783738
193	0.2115147407
194	0.2110588889
195	0.2104658029
196	0.2102444286
197	0.2095880265
198	0.209400388
199	0.2088500655
200	0.2085375787
201	0.2075542819
202	0.2071231029
203	0.2059767265
204	0.2053559232
205	0.2052240394
206	0.2049421486
207	0.204904345
208	0.2047118752
209	0.20418154
210	0.2036804597
211	0.2034566392
212	0.2030524752
213	0.2025241183
214	0.2015761563
215	0.2012943872
216	0.2006471972
217	0.2001607631
218	0.1998757145
219	0.1985187451
220	0.1979604204
221	0.1975106217
222	0.197444237
223	0.1971761615
224	0.1966477148
225	0.1964310031
226	0.1955732793
227	0.1951505028
228	0.195026134
229	0.1942391882
230	0.1936184429
231	0.1931462775
232	0.1928802142
233	0.192429958
234	0.1918353662
235	0.1917310042
236	0.1916521454
237	0.1909433275
238	0.1903645437
239	0.1902682745
240	0.1898922696
241	0.1897968428
242	0.1895575623
243	0.1894529729
244	0.1891272279
245	0.1886951239
246	0.1881542053
247	0.1871425569
248	0.187021499
249	0.1869914952
250	0.1865681961
251	0.1863974678
252	0.1858855743
253	0.1855486136
254	0.184772539
255	0.1845597921
256	0.1844951764
257	0.1838098258
258	0.183489675
259	0.1829617188
260	0.1827247237
261	0.182340665
262	0.1822009593
263	0.1820353999
264	0.1815800543
265	0.1811954558
266	0.1803590941
267	0.1793303794
268	0.1787860475
269	0.1785841322
270	0.178554708
271	0.1781084912
272	0.1774907509
273	0.1772245895
274	0.1764862298
275	0.1760535084
276	0.1756337479
277	0.1750741855
278	0.1747562441
279	0.1746171625
280	0.1740332913
281	0.1738276483
282	0.1734504556
283	0.1733745991
284	0.172559947
285	0.1724704696
286	0.1721171354
287	0.1714035632
288	0.1712619091
289	0.1708480314
290	0.1707655135
291	0.1702999439
292	0.1699891973
293	0.1697128231
294	0.1694143204
295	0.1683776171
296	0.1681137804
297	0.1678659488
298	0.1673048013
299	0.1670627872
