,abiturient_id,spec_id,status,predmet_1,predmet_2,predmet_3,predmet_1_bal,predmet_2_bal,predmet_3_bal,edu_form,fin_type,sum_bal
138,202100254,39,1,Иностранный язык,Обществознание,Русский язык,87,78,82,1,2,243
139,202100772,10,0,Математика,Физика,Русский язык,82,81,92,1,1,244
140,202100772,9,0,Математика,Физика,Русский язык,82,81,92,1,1,244
141,202100772,15,0,Математика,Физика,Русский язык,82,81,92,1,1,244
142,202100772,9,0,Математика,Физика,Русский язык,82,81,92,1,2,244
143,202100772,10,0,Математика,Физика,Русский язык,82,81,92,1,2,244
144,202100690,32,0,Математика,Физика,Русский язык,70,53,71,1,1,176
145,202100690,32,1,Математика,Физика,Русский язык,70,53,71,1,2,176
146,202100690,37,0,Математика,Физика,Русский язык,70,53,71,1,1,176
147,202100690,37,0,Математика,Физика,Русский язык,70,53,71,1,2,176
148,202100690,33,0,Математика,Физика,Русский язык,70,53,71,1,1,176
149,202100690,33,0,Математика,Физика,Русский язык,70,53,71,1,2,176
150,202100690,18,0,Математика,Физика,Русский язык,70,53,71,1,1,176
151,202100690,18,0,Математика,Физика,Русский язык,70,53,71,1,2,176
152,202100690,8,0,Математика,Физика,Русский язык,70,53,71,1,1,176
153,202100690,8,0,Математика,Физика,Русский язык,70,53,71,1,2,176
154,202100203,19,0,Математика,Физика,Русский язык,78,81,72,1,1,240
155,202100203,20,0,Математика,Физика,Русский язык,78,81,72,1,1,240
156,202100203,32,0,Математика,Физика,Русский язык,78,81,72,1,1,240
157,202100203,33,0,Математика,Физика,Русский язык,78,81,72,1,1,240
158,202100203,18,1,Математика,Физика,Русский язык,78,81,72,1,1,240
159,202100244,31,0,Математика,Физика,Русский язык,80,64,72,1,1,208
160,202100244,32,1,Математика,Физика,Русский язык,80,64,72,1,1,208
162,202100793,6,0,Математика,Физика,Русский язык,45,53,49,1,1,151
163,202100793,6,0,Математика,Физика,Русский язык,45,53,49,1,2,151
164,202100793,12,0,Математика,Физика,Русский язык,45,53,49,1,1,151
165,202100793,12,0,Математика,Физика,Русский язык,45,53,49,1,2,151
166,202100793,31,0,Математика,Физика,Русский язык,45,53,49,1,1,151
167,202100793,30,0,Математика,Физика,Русский язык,45,53,49,1,1,151
168,202100786,1,0,Математика,Информатика и ИКТ,Русский язык,65,52,9,1,1,169
169,202100314,2,0,Математика,Информатика и ИКТ,Русский язык,70,50,84,1,1,170
170,202100314,3,0,Математика,Информатика и ИКТ,Русский язык,70,50,84,1,1,170
171,202100314,8,1,Математика,Физика,Русский язык,70,62,84,1,1,194
172,202100529,19,0,Математика,Физика,Русский язык,62,54,73,1,1,170
173,202100529,19,0,Математика,Физика,Русский язык,62,54,73,1,2,170
174,202100529,6,0,Математика,Физика,Русский язык,62,54,73,1,1,170
175,202100529,6,0,Математика,Физика,Русский язык,62,54,73,1,2,170
176,202100529,12,0,Математика,Физика,Русский язык,62,54,73,1,1,170
177,202100529,12,0,Математика,Физика,Русский язык,62,54,73,1,2,170
178,202100492,19,0,Математика,Физика,Русский язык,72,49,54,1,1,170
179,202100492,19,0,Математика,Физика,Русский язык,72,49,54,1,2,170
180,202100492,34,0,Математика,Физика,Русский язык,72,49,54,1,1,170
181,202100492,34,0,Математика,Физика,Русский язык,72,49,54,1,2,170
182,202100492,18,0,Математика,Физика,Русский язык,72,49,54,1,2,170
183,202100492,9,0,Математика,Физика,Русский язык,72,49,54,1,2,170
184,202100492,20,0,Математика,Физика,Русский язык,72,49,54,1,2,170
185,202100492,20,0,Математика,Физика,Русский язык,72,49,54,1,1,170
186,202100611,37,0,Математика,Физика,Русский язык,50,55,72,1,1,160
187,202100611,30,0,Математика,Физика,Русский язык,50,55,72,1,1,160
188,202100611,19,0,Математика,Физика,Русский язык,50,55,72,1,1,160
189,202100063,4,0,Математика,Информатика и ИКТ,Русский язык,72,80,69,1,1,232
190,202100063,3,0,Математика,Информатика и ИКТ,Русский язык,72,80,69,1,1,232
191,202100063,5,0,Математика,Физика,Русский язык,72,61,69,1,1,194
192,202100063,2,0,Математика,Информатика и ИКТ,Русский язык,72,80,69,1,1,232
193,202100311,3,0,Математика,Информатика и ИКТ,Русский язык,50,85,90,1,1,220
194,202100311,1,0,Математика,Информатика и ИКТ,Русский язык,50,85,90,1,1,220
195,202100311,3,0,Математика,Информатика и ИКТ,Русский язык,50,85,90,1,2,220
196,202100311,1,0,Математика,Информатика и ИКТ,Русский язык,50,85,90,1,2,220
197,202100694,8,0,Математика,Физика,Русский язык,82,62,88,1,1,206
198,202100694,16,0,Математика,Физика,Русский язык,82,62,88,1,1,206
199,202100694,18,0,Математика,Физика,Русский язык,82,62,88,1,1,206
200,202100694,32,0,Математика,Физика,Русский язык,82,62,88,1,1,206
201,202100527,31,0,Математика,Физика,Русский язык,45,45,66,1,2,135
202,202100563,20,0,Математика,Физика,Русский язык,68,45,65,1,1,158
203,202100563,16,0,Математика,Физика,Русский язык,68,45,65,1,1,158
204,202100563,11,0,Математика,Физика,Русский язык,68,45,65,1,1,158
205,202100563,19,0,Математика,Физика,Русский язык,68,45,65,1,1,158
206,202100305,32,1,Математика,Физика,Русский язык,94,91,98,1,1,276
207,202100778,18,0,Математика,Физика,Русский язык,39,74,84,1,1,187
208,202100778,20,0,Математика,Физика,Русский язык,39,74,84,1,1,187
209,202100778,32,0,Математика,Физика,Русский язык,39,74,84,1,1,187
210,202100778,33,0,Математика,Физика,Русский язык,39,74,84,1,1,187
211,202100778,18,0,Математика,Физика,Русский язык,39,74,84,1,2,187
212,202100778,20,0,Математика,Физика,Русский язык,39,74,84,1,2,187
213,202100778,32,0,Математика,Физика,Русский язык,39,74,84,1,2,187
214,202100778,33,0,Математика,Физика,Русский язык,39,74,84,1,2,187
215,202100527,31,0,Математика,Физика,Русский язык,45,45,66,1,1,135
216,202100063,1,0,Математика,Информатика и ИКТ,Русский язык,72,80,69,1,1,232
217,202100755,18,0,Математика,Физика,Русский язык,74,49,64,1,1,172
218,202100755,20,0,Математика,Физика,Русский язык,74,49,64,1,1,172
219,202100755,9,0,Математика,Физика,Русский язык,74,49,64,1,1,172
220,202100755,10,0,Математика,Физика,Русский язык,74,49,64,1,1,172
221,202100755,11,0,Математика,Физика,Русский язык,74,49,64,1,1,172
222,202100651,11,0,Математика,Физика,Русский язык,56,68,73,1,1,192
223,202100651,18,0,Математика,Физика,Русский язык,56,68,73,1,1,192
224,202100651,33,0,Математика,Физика,Русский язык,56,68,73,1,1,192
225,202100651,15,0,Математика,Физика,Русский язык,56,68,73,1,1,192
226,202100651,20,0,Математика,Физика,Русский язык,56,68,73,1,1,192
227,202100709,27,0,Математика,Физика,Русский язык,72,44,67,1,1,160
228,202100784,32,1,Математика,Физика,Русский язык,76,68,86,1,1,212
229,202100784,34,0,Математика,Физика,Русский язык,76,68,86,1,1,212
230,202100784,27,0,Математика,Физика,Русский язык,76,68,86,1,1,212
231,202100784,16,0,Математика,Физика,Русский язык,76,68,86,1,1,212
232,202100784,8,0,Математика,Физика,Русский язык,76,68,86,1,1,212
233,202100831,16,0,Математика,Физика,Русский язык,84,89,98,1,1,262
234,202100082,34,0,Математика,Физика,Русский язык,72,62,70,1,1,196
235,202100082,33,0,Математика,Физика,Русский язык,72,62,70,1,1,196
236,202100082,32,0,Математика,Физика,Русский язык,72,62,70,1,1,196
237,202100833,27,0,Математика,Физика,Русский язык,62,47,69,1,1,156
238,202100833,9,0,Математика,Физика,Русский язык,62,47,69,1,1,156
239,202100833,30,0,Математика,Физика,Русский язык,62,47,69,1,1,156
240,202100833,20,0,Математика,Физика,Русский язык,62,47,69,1,1,156
241,202100833,12,0,Математика,Физика,Русский язык,62,47,69,1,1,156
242,202100811,6,0,Математика,Физика,Русский язык,62,78,88,1,1,218
243,202100811,8,0,Математика,Физика,Русский язык,62,78,88,1,1,218
244,202100811,10,0,Математика,Физика,Русский язык,62,78,88,1,1,218
245,202100389,18,0,Математика,Физика,Русский язык,72,74,92,1,1,220
246,202100389,31,0,Математика,Физика,Русский язык,72,74,92,1,1,220
247,202100389,32,0,Математика,Физика,Русский язык,72,74,92,1,1,220
248,202100389,20,0,Математика,Физика,Русский язык,72,74,92,1,1,220
249,202100389,33,0,Математика,Физика,Русский язык,72,74,92,1,1,220
250,202100874,27,0,Математика,Физика,Русский язык,50,66,78,1,1,182
251,202100874,6,0,Математика,Физика,Русский язык,50,66,78,1,1,182
252,202100874,8,0,Математика,Физика,Русский язык,50,66,78,1,1,182
253,202100874,10,0,Математика,Физика,Русский язык,50,66,78,1,1,182
254,202100874,9,0,Математика,Физика,Русский язык,50,66,78,1,1,182
255,202100682,12,0,Математика,Физика,Русский язык,45,48,69,1,1,141
256,202100844,18,0,Математика,Физика,Русский язык,70,61,78,1,1,192
257,202100844,12,0,Математика,Физика,Русский язык,70,61,78,1,1,192
258,202100844,11,0,Математика,Физика,Русский язык,70,61,78,1,1,192
259,202100844,33,0,Математика,Физика,Русский язык,70,61,78,1,1,192
260,202100844,9,0,Математика,Физика,Русский язык,70,61,78,1,1,192
261,202100734,10,0,Математика,Физика,Русский язык,50,55,82,1,1,160
262,202100734,11,0,Математика,Физика,Русский язык,50,55,82,1,1,160
263,202100734,12,0,Математика,Физика,Русский язык,50,55,82,1,1,160
264,202100734,9,0,Математика,Физика,Русский язык,50,55,82,1,1,160
265,202100284,16,0,Математика,Физика,Русский язык,78,87,82,1,1,252
266,202100284,18,0,Математика,Физика,Русский язык,78,87,82,1,1,252
267,202100145,6,0,Математика,Физика,Русский язык,82,74,72,1,1,230
268,202100145,11,0,Математика,Физика,Русский язык,82,74,72,1,1,230
269,202100145,34,1,Математика,Физика,Русский язык,82,74,72,1,1,230
270,202100145,18,0,Математика,Физика,Русский язык,82,74,72,1,1,230
271,202100145,32,0,Математика,Физика,Русский язык,82,74,72,1,1,230
272,202100988,1,0,Математика,Информатика и ИКТ,Русский язык,99,99,99,1,1,297
273,202100990,9,0,Математика,Физика,Русский язык,74,60,70,1,1,194
274,202100990,10,0,Математика,Физика,Русский язык,74,60,70,1,1,194
275,202100990,33,0,Математика,Физика,Русский язык,74,60,70,1,1,194
276,202100990,37,0,Математика,Физика,Русский язык,74,60,70,1,1,194
277,202100990,15,0,Математика,Физика,Русский язык,74,60,70,1,1,194
278,202100991,18,0,Математика,Физика,Русский язык,39,51,57,1,1,141
279,202100991,11,0,Математика,Физика,Русский язык,39,51,57,1,1,141
280,202100143,32,0,Математика,Физика,Русский язык,70,66,72,1,1,202
281,202100143,18,1,Математика,Физика,Русский язык,70,66,72,1,1,202
282,202100143,5,0,Математика,Физика,Русский язык,70,66,72,1,1,202
283,202100143,33,0,Математика,Физика,Русский язык,70,66,72,1,1,202
284,202100997,32,0,Математика,Физика,Русский язык,62,54,73,1,1,170
285,202100997,33,0,Математика,Физика,Русский язык,62,54,73,1,1,170
286,202100997,31,0,Математика,Физика,Русский язык,62,54,73,1,1,170
287,202100997,13,0,Математика,Физика,Русский язык,62,54,73,1,1,170
288,202100997,15,1,Математика,Физика,Русский язык,62,54,73,1,1,170
289,202101000,10,0,Математика,Физика,Русский язык,76,68,76,1,1,212
290,202101000,18,0,Математика,Физика,Русский язык,76,68,76,1,1,212
291,202101000,20,0,Математика,Физика,Русский язык,76,68,76,1,1,212
292,202101000,11,0,Математика,Физика,Русский язык,76,68,76,1,1,212
293,202101000,12,0,Математика,Физика,Русский язык,76,68,76,1,1,212
294,202101011,30,0,Математика,Физика,Русский язык,50,53,72,1,1,156
295,202101011,31,0,Математика,Физика,Русский язык,50,53,72,1,1,156
296,202101013,33,0,Математика,Физика,Русский язык,62,45,48,1,1,152
297,202101013,15,0,Математика,Физика,Русский язык,62,45,48,1,1,152
298,202101013,11,0,Математика,Физика,Русский язык,62,45,48,1,1,152
299,202101013,30,0,Математика,Физика,Русский язык,62,45,48,1,1,152
300,202101013,12,0,Математика,Физика,Русский язык,62,45,48,1,1,152
301,202101017,11,1,Математика,Физика,Русский язык,84,52,50,2,2,188
302,202101017,3,0,Математика,Информатика и ИКТ,Русский язык,84,50,50,2,2,184
303,202101017,17,0,Математика,Информатика и ИКТ,Русский язык,84,50,50,2,2,184
304,202100965,8,0,Математика,Физика,Русский язык,62,54,69,1,1,170
305,202100965,33,0,Математика,Физика,Русский язык,62,54,69,1,1,170
306,202100965,30,1,Математика,Физика,Русский язык,62,54,69,1,1,170
307,202100965,31,0,Математика,Физика,Русский язык,62,54,69,1,1,170
308,202100965,13,0,Математика,Физика,Русский язык,62,54,69,1,1,170
309,202101025,27,0,Математика,Физика,Русский язык,70,70,70,1,1,210
310,202100218,18,1,Математика,Физика,Русский язык,80,97,100,1,1,274
311,202100218,32,0,Математика,Физика,Русский язык,80,97,100,1,1,274
312,202101035,33,0,Математика,Физика,Русский язык,56,62,67,1,1,180
313,202101035,19,0,Математика,Физика,Русский язык,56,62,67,1,1,180
314,202101035,34,0,Математика,Физика,Русский язык,56,62,67,1,1,180
315,202101035,20,0,Математика,Физика,Русский язык,56,62,67,1,1,180
316,202101035,30,0,Математика,Физика,Русский язык,56,62,67,1,1,180
317,202101041,38,1,Математика,Биология,Русский язык,50,44,67,1,2,138
318,202101041,25,0,Математика,Обществознание,Русский язык,50,47,67,1,2,144
319,202101041,24,0,Математика,Обществознание,Русский язык,50,47,67,1,2,144
320,202101044,8,0,Математика,Физика,Русский язык,50,45,78,1,1,140
321,202101044,16,0,Математика,Физика,Русский язык,50,45,78,1,1,140
322,202101044,13,0,Математика,Физика,Русский язык,50,45,78,1,1,140
323,202101044,27,0,Математика,Физика,Русский язык,50,45,78,1,1,140
324,202101044,30,0,Математика,Физика,Русский язык,50,45,78,1,1,140
325,202101044,8,0,Математика,Физика,Русский язык,50,45,78,1,2,140
326,202101044,16,0,Математика,Физика,Русский язык,50,45,78,1,2,140
327,202101044,27,0,Математика,Физика,Русский язык,50,45,78,1,2,140
328,202101046,13,0,Математика,Физика,Русский язык,45,42,70,1,1,129
329,202101046,13,0,Математика,Физика,Русский язык,45,42,70,1,2,129
330,202101046,11,0,Математика,Физика,Русский язык,45,42,70,1,1,129
331,202101046,5,0,Математика,Физика,Русский язык,45,42,70,1,1,129
332,202101046,33,0,Математика,Физика,Русский язык,45,42,70,1,1,129
333,202101046,30,0,Математика,Физика,Русский язык,45,42,70,1,1,129
334,202101046,11,0,Математика,Физика,Русский язык,45,42,70,1,2,129
335,202101046,5,0,Математика,Физика,Русский язык,45,42,70,1,2,129
336,202101046,30,0,Математика,Физика,Русский язык,45,42,70,1,2,129
337,202101046,33,0,Математика,Физика,Русский язык,45,42,70,1,2,129
338,202100946,5,0,Математика,Физика,Русский язык,50,52,56,1,1,154
339,202100946,21,0,Математика,Физика,Русский язык,50,52,56,1,1,154
340,202100946,22,0,Математика,Физика,Русский язык,50,52,56,1,1,154
341,202100946,11,0,Математика,Физика,Русский язык,50,52,56,1,1,154
342,202100946,15,0,Математика,Физика,Русский язык,50,52,56,1,1,154
343,202100261,31,0,Математика,Физика,Русский язык,68,46,78,1,1,160
344,202100261,31,1,Математика,Физика,Русский язык,68,46,78,1,2,160
345,202100261,18,0,Математика,Физика,Русский язык,68,46,78,1,1,160
346,202100261,18,0,Математика,Физика,Русский язык,68,46,78,1,2,160
347,202100261,32,0,Математика,Физика,Русский язык,68,46,78,1,1,160
348,202100261,32,0,Математика,Физика,Русский язык,68,46,78,1,2,160
349,202100261,20,0,Математика,Физика,Русский язык,68,46,78,1,1,160
350,202100261,20,0,Математика,Физика,Русский язык,68,46,78,1,2,160
351,202100261,5,0,Математика,Физика,Русский язык,68,46,78,1,1,160
352,202100261,5,0,Математика,Физика,Русский язык,68,46,78,1,2,160
353,202101049,33,0,Математика,Физика,Русский язык,45,45,60,1,1,135
354,202101049,30,0,Математика,Физика,Русский язык,45,45,60,1,1,135
355,202101049,31,0,Математика,Физика,Русский язык,45,45,60,1,1,135
356,202101049,34,0,Математика,Физика,Русский язык,45,45,60,1,1,135
357,202101049,37,0,Математика,Физика,Русский язык,45,45,60,1,1,135
358,202101052,27,0,Математика,Физика,Русский язык,70,70,70,1,1,210
359,202100506,25,1,Математика,Обществознание,Русский язык,56,83,88,1,2,222
361,202101016,23,0,Математика,Обществознание,Русский язык,45,67,78,1,2,179
362,202100958,11,0,Математика,Физика,Русский язык,70,68,86,1,1,206
363,202100958,33,0,Математика,Физика,Русский язык,70,68,86,1,1,206
364,202100958,15,0,Математика,Физика,Русский язык,70,68,86,1,1,206
365,202100097,30,0,Математика,Физика,Русский язык,50,51,66,1,1,152
366,202100097,34,0,Математика,Физика,Русский язык,50,51,66,1,1,152
367,202100334,31,0,Математика,Физика,Русский язык,62,55,78,1,1,172
368,202100334,30,0,Математика,Физика,Русский язык,62,55,78,1,1,172
369,202101084,31,0,Математика,Физика,Русский язык,45,49,72,1,1,143
370,202101084,19,0,Математика,Физика,Русский язык,45,49,72,1,1,143
371,202101084,34,0,Математика,Физика,Русский язык,45,49,72,1,1,143
372,202101084,33,0,Математика,Физика,Русский язык,45,49,72,1,1,143
373,202101093,30,1,Математика,Физика,Русский язык,56,47,78,1,1,150
374,202100180,31,0,Математика,Физика,Русский язык,80,66,88,1,1,212
375,202100180,32,0,Математика,Физика,Русский язык,80,66,88,1,1,212
376,202100180,33,0,Математика,Физика,Русский язык,80,66,88,1,1,212
377,202100180,34,0,Математика,Физика,Русский язык,80,66,88,1,1,212
378,202100180,37,0,Математика,Физика,Русский язык,80,66,88,1,1,212
379,202101103,23,1,Математика,Обществознание,Русский язык,45,52,71,1,2,149
380,202101103,24,0,Математика,Обществознание,Русский язык,45,52,71,1,2,149
381,202100439,1,0,Математика,Информатика и ИКТ,Русский язык,80,77,80,1,1,234
382,202100439,3,0,Математика,Информатика и ИКТ,Русский язык,80,77,80,1,1,234
383,202100439,2,0,Математика,Информатика и ИКТ,Русский язык,80,77,80,1,1,234
384,202100839,10,0,Математика,Физика,Русский язык,70,61,67,1,1,192
385,202100839,11,0,Математика,Физика,Русский язык,70,61,67,1,1,192
